claimId,product,aspect,condition,claimType,directionLabel,question,answer,positive,negative,neutral,spoke,silent,cell,confidence,hedgeReasons,limitations,evidenceCount,quotes
p009|skinTrouble=C05|가성비,더샘 커버 퍼펙션 트리플 팟 컨실러,가성비,트러블 고민,conditional,긍정,저렴한 컨실러인데 값어치는 하는 걸까?,"가격을 고려하면 만족스럽다는 말이 여러 리뷰에서 반복된다. 단순히 싸다는 게 아니라 그 가격에 이 정도 제품력이면 괜찮다는 식의 평가가 많고, 다른 브랜드와 비교해도 이만한 게 없다는 언급도 있다. 다만 무엇이 좋았는지 구체적으로 짚은 내용보다는 가성비 자체를 짧게 언급한 경우가 대부분이다.",8,0,0,8,71,79,hedged,말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 가성비 최고예요 (리뷰 62671770)
[positive] 가격대비 제품력이 좋습니다 (리뷰 62394267)
[positive] 가성비 컨실러로 더샘 만한 게 없습니다 (리뷰 63713806)"
p009|skinType=미기재|가성비,더샘 커버 퍼펙션 트리플 팟 컨실러,가성비,피부타입을 안 밝힌 리뷰,conditional,긍정,이 가격에 이 정도 컨실러면 괜찮은 걸까?,"가격 대비 용량이 넉넉하고 다크서클 커버 등 실사용에 충분하다는 평가가 많다. 매트한 타입이 가성비 면에서 더 낫다는 언급도 있어, 타입 선택에 참고할 만하다.",13,0,0,13,209,222,hedged,말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 가격 대비 용량이 넉넉함 (리뷰 63233705)
[positive] 가성비갑 다크서클컨실러임 (리뷰 61407271)
[positive] 가성비로 따지면 매트한게 나요 (리뷰 63876253)"
p009|skinType=A02|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,건성 피부,conditional,혼재,건성인데 이 컨실러 하나로 시간 지나도 안 뜰까?,"시간이 지나도 들뜨지 않고 밀착력이 유지된다는 말이 많다. 다만 잘 뜬다며 아쉬워하는 리뷰도 있어, 건성이라고 해서 무조건 밀착이 보장되는 것은 아니라는 점은 감안할 필요가 있다.",8,2,0,10,54,64,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 밀착력도 괜찮아서 시간이 지나도 쉽게 무너지지 않았고 (리뷰 63421471)
[positive] 밀착력이 좋아 시간이 지나도 쉽게 무너지지 않는 (리뷰 63555952)
[negative] 잘 떠서 아쉬웠어요ㅠㅠㅠㅠ (리뷰 63362447)"
p009|skinType=A03|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,복합성 피부,conditional,혼재,복합성인데 오래 지나도 뜨지 않고 밀착될까?,"얇고 쫀쫀하게 밀착되면서 피부에서 뜨지 않는다는 평이 많다. 다만 눈가처럼 건조한 부위는 기초를 탄탄히 하지 않으면 살짝 끼임이 느껴진다는 말이 있고, 유분이 많은 부위에서는 쉽게 들뜬다는 언급도 있다. 복합성이라면 부위별로 밀착감이 다르게 느껴질 수 있다는 뜻이다.",9,14,0,23,83,106,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 얇고 쫀쫀하게 밀착되면서 (리뷰 62671770)
[negative] 눈가처럼 건조한 부위에는 기초를 탄탄하게 해주지 않으면 살짝 끼임이 느껴질 수 있어요. (리뷰 61692431)
[negative] 수부지인 제 피부에 쉽게 들뜨기 때문에 (리뷰 37892820)"
p009|skinTrouble=C06|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,블랙헤드 고민,conditional,혼재,블랙헤드 있는 피부인데 요철 부위에서 뜨거나 부각되지 않을까?,"얇게 밀착되고 끼임이 적다는 말도 있지만, 요철이 있는 곳에 바르면 오히려 부각되고 각질처럼 하얗게 뜬다는 리뷰가 더 많다. 파데를 올리면 벗겨지거나 자국이 남는다는 말도 있어, 기초를 충분히 해도 밀착력 자체가 약하다는 지적이 꾸준하다.",2,6,0,8,30,38,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[negative] 안그러면 하얗게 각질처럼 떠보여요 (리뷰 49388854)
[negative] 요철있는곳에  바르면 부각 미침 (리뷰 63861655)
[negative] 밀착력이 좀 떨어지고 (리뷰 61392648)
[positive] 끼임이 적어서 (리뷰 62934586)"
p009|skinTrouble=C01|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,잡티 고민,conditional,혼재,잡티 가리려고 쓰는데 뜨거나 밀리지 않고 잘 붙어있을까?,"얇게 발려도 시간이 지나도 무너지지 않고 들뜨거나 밀리지 않는다는 평이 많다. 다만 건성 피부에는 뻑뻑한 타입이라 뜰 가능성이 크다는 지적이 있고, 반대로 잘 달라붙지 않는다는 짧은 불만도 있다.",11,7,0,18,84,102,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 밀착력도 괜찮아서 시간이 지나도 쉽게 무너지지 않았고 (리뷰 63421471)
[positive] 그래도 들뜨는건 없어서 좋았어요 (리뷰 46926971)
[negative] 건성 피부가 쓰기에는 무조건 뜰 가능성이 큰 뻑뻑한 타입임 (리뷰 61298871)
[negative] 척척 달라붙지가 않음 (리뷰 37389299)"
p009|product=None|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,조건 없음 (이 제품 리뷰 전체),unconditional,혼재,건조한 부위나 건성 피부에도 뜨지 않고 밀착될까?,"촉촉하게 밀착되고 시간이 지나도 무너지지 않는다는 평이 많다. 다만 건성 피부는 뻑뻑하게 느껴져 뜰 가능성이 있다는 지적이 있고, 눈가처럼 건조한 부위는 기초를 탄탄히 해주지 않으면 살짝 끼임이 느껴질 수 있다는 언급도 나온다.",48,45,0,93,367,460,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[negative] 건성 피부가 쓰기에는 무조건 뜰 가능성이 큰 뻑뻑한 타입임 (리뷰 61298871)
[positive] 촉촉한편이라 밀착잘되고 (리뷰 46218411)
[negative] 눈가처럼 건조한 부위에는 기초를 탄탄하게 해주지 않으면 살짝 끼임이 느껴질 수 있어요. (리뷰 61692431)
[positive] 밀착력도 괜찮아서 시간이 지나도 쉽게 무너지지 않았고 (리뷰 63421471)"
p009|skinTrouble=C05|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,트러블 고민,conditional,혼재,트러블 피부인데 뜨거나 들뜨지 않고 밀착될까?,"얇고 쫀쫀하게 밀착되면서 피부에서 뜨지 않는다는 말이 여럿 나온다. 반면 매트한 제형 탓에 뜨는 느낌이 있고 금방 끼인다는 리뷰도 비슷한 비중으로 나온다. 건성이면 뻑뻑해서 들뜰 가능성이 크다는 언급도 있어, 수분감이 부족한 피부에서 갈리는 것으로 보인다.",7,8,0,15,64,79,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] 그만큼 이 컨실러 밀착력과 지속력이 좋다는 얘기예요 (리뷰 35966796)
[positive] 얇고 쫀쫀하게 밀착되면서 (리뷰 62671770)
[negative] 좀 매트해서 뜨는것같은 느낌도 있어서 (리뷰 63592153)
[negative] 금방 뜨고 끼여요ㅠㅠ (리뷰 62718214)
[negative] 건성 피부가 쓰기에는 무조건 뜰 가능성이 큰 뻑뻑한 타입임 (리뷰 61298871)"
p009|skinTrouble=미기재|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,피부고민을 안 밝힌 리뷰,conditional,혼재,시간 지나도 뜨거나 갈라지지 않고 잘 붙어있을까?,"피부에 자연스럽게 밀착되고 시간이 지나도 크게 들뜨지 않는다는 말이 많다. 다만 수분이 부족한 복합성 피부는 시간이 지나며 들뜨거나 뭉친다는 지적이 있고, 다크서클처럼 접히는 부위에 바르면 갈라지고 뜬다는 리뷰도 나온다. 뜬다는 언급만 반복하는 리뷰도 있어 부위·피부 상태에 따라 갈리는 것으로 보인다.",28,26,0,54,189,243,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] 피부에 자연스럽게 밀착되고 (리뷰 63552427)
[positive] 밀착력이 좋아 시간이 지나도 크게 들뜨지 않았습니다 (리뷰 62603695)
[negative] 수분 부족형 복합성 피부는 시간이 지나며 들뜨거나 뭉침 (리뷰 63233705)
[negative] 다크서클 바르기엔 좀 갈라지고 뜨더라구요 (리뷰 57895421)
[negative] 떠요, 뜹니다, 뜨고요… (리뷰 63966521)"
p009|skinType=미기재|밀착력,더샘 커버 퍼펙션 트리플 팟 컨실러,밀착력,피부타입을 안 밝힌 리뷰,conditional,혼재,시간 지나도 뜨거나 갈라지지 않고 밀착될까?,"얇게 밀착되어 시간이 지나도 크게 들뜨지 않는다는 말이 많다. 다만 수분 부족형 복합성 피부는 시간이 지나며 들뜨거나 뭉친다는 언급이 있고, 다크서클 부위처럼 접히는 곳에는 갈라지고 뜬다는 리뷰도 나온다.",26,20,0,46,176,222,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] 밀착력이 뛰어나 (리뷰 63562000)
[positive] 밀착력이 좋아 시간이 지나도 크게 들뜨지 않았습니다 (리뷰 62603695)
[negative] 수분 부족형 복합성 피부는 시간이 지나며 들뜨거나 뭉침 (리뷰 63233705)
[negative] 다크서클 바르기엔 좀 갈라지고 뜨더라구요 (리뷰 57895421)
[negative] 떠요, 뜹니다, 뜨고요… (리뷰 63966521)"
